episode,episode_reward
1,693.0
2,1018.0
3,596.0
4,636.0
5,985.0
6,1027.0
7,636.0
8,232.0
9,232.0
10,905.0
11,225.0
12,610.0
13,786.0
14,232.0
15,716.0
16,232.0
17,232.0
18,1015.0
19,2985.0
20,657.0
21,232.0
22,956.0
23,634.0
24,990.0
25,634.0
26,619.0
27,232.0
28,593.0
29,679.0
30,232.0
31,622.0
32,617.0
33,736.0
34,620.0
35,593.0
36,232.0
37,634.0
38,636.0
39,982.0
40,691.0
41,232.0
42,585.0
43,1030.0
44,709.0
45,232.0
46,1176.0
47,225.0
48,603.0
49,1211.0
50,232.0
51,935.0
52,602.0
53,1022.0
54,603.0
55,623.0
56,654.0
57,222.0
58,232.0
59,1206.0
60,223.0
61,967.0
62,586.0
63,1002.0
64,898.0
65,634.0
66,1301.0
67,801.0
68,232.0
69,1224.0
70,232.0
71,993.0
72,223.0
73,596.0
74,223.0
75,622.0
76,636.0
77,232.0
78,1024.0
79,586.0
80,225.0
81,623.0
82,740.0
83,798.0
84,223.0
85,611.0
86,582.0
87,1288.0
88,741.0
89,222.0
90,1028.0
91,987.0
92,1002.0
93,643.0
94,634.0
95,232.0
96,588.0
97,222.0
98,999.0
99,216.0
100,222.0
101,630.0
102,633.0
103,931.0
104,1493.0
105,634.0
106,884.0
107,597.0
108,1019.0
109,991.0
110,989.0
111,232.0
112,232.0
113,977.0
114,580.0
115,232.0
116,612.0
117,589.0
118,581.0
119,606.0
120,1295.0
121,644.0
122,766.0
123,615.0
124,765.0
125,761.0
126,600.0
127,1024.0
128,593.0
129,223.0
130,746.0
131,622.0
132,638.0
133,972.0
134,232.0
135,767.0
136,766.0
137,713.0
138,225.0
139,600.0
140,1288.0
141,232.0
142,232.0
143,665.0
144,1272.0
145,783.0
146,1090.0
147,1001.0
148,630.0
149,585.0
150,806.0
151,737.0
152,691.0
153,223.0
154,631.0
155,1007.0
156,616.0
157,635.0
158,994.0
159,590.0
160,796.0
161,608.0
162,222.0
163,578.0
164,225.0
165,1274.0
166,216.0
167,222.0
168,1614.0
169,632.0
170,603.0
171,696.0
172,225.0
173,632.0
174,765.0
175,636.0
176,1008.0
177,605.0
178,988.0
179,769.0
180,1280.0
181,636.0
182,808.0
183,593.0
184,733.0
185,1350.0
186,635.0
187,222.0
188,635.0
189,232.0
190,232.0
191,1032.0
192,590.0
193,603.0
194,959.0
195,617.0
196,606.0
197,952.0
198,1299.0
199,922.0
200,232.0
201,232.0
202,1261.0
203,988.0
204,632.0
205,1225.0
206,803.0
207,752.0
208,225.0
209,737.0
210,961.0
211,232.0
212,592.0
213,1037.0
214,907.0
215,232.0
216,232.0
217,620.0
218,588.0
219,748.0
220,1180.0
221,995.0
222,232.0
223,727.0
224,778.0
225,232.0
226,635.0
227,232.0
228,615.0
229,634.0
230,678.0
231,632.0
232,634.0
233,1007.0
234,232.0
235,788.0
236,1294.0
237,1810.0
238,1030.0
239,603.0
240,1029.0
241,633.0
242,684.0
243,801.0
244,1771.0
245,634.0
246,1282.0
247,791.0
248,560.0
249,1261.0
250,225.0
251,232.0
252,633.0
253,1238.0
254,232.0
255,591.0
256,636.0
257,634.0
258,951.0
259,739.0
260,619.0
261,216.0
262,732.0
263,1045.0
264,611.0
265,594.0
266,632.0
267,719.0
268,1020.0
269,737.0
270,602.0
271,232.0
272,1014.0
273,232.0
274,232.0
275,225.0
276,1026.0
277,632.0
278,731.0
279,593.0
280,614.0
281,623.0
282,225.0
283,232.0
284,632.0
285,707.0
286,619.0
287,707.0
288,232.0
289,1256.0
290,998.0
291,217.0
292,1799.0
293,1303.0
294,987.0
295,962.0
296,633.0
297,636.0
298,1001.0
299,878.0
300,613.0
301,601.0
302,868.0
303,714.0
304,1233.0
305,950.0
306,586.0
307,632.0
308,802.0
309,806.0
310,939.0
311,715.0
312,1297.0
313,608.0
314,634.0
315,588.0
316,594.0
317,596.0
318,1481.0
319,678.0
320,745.0
321,1164.0
322,636.0
323,579.0
324,988.0
325,916.0
326,232.0
327,615.0
328,1261.0
329,232.0
330,588.0
331,225.0
332,591.0
333,770.0
334,232.0
335,719.0
336,899.0
337,693.0
338,581.0
339,897.0
340,1292.0
341,1004.0
342,596.0
343,905.0
344,577.0
345,608.0
346,619.0
347,634.0
348,634.0
349,970.0
350,619.0
351,232.0
352,232.0
353,2306.0
354,776.0
355,754.0
356,232.0
357,634.0
358,225.0
359,1276.0
360,614.0
361,740.0
362,225.0
363,781.0
364,996.0
365,232.0
366,634.0
367,1232.0
368,661.0
369,232.0
370,575.0
371,738.0
372,653.0
373,1127.0
374,648.0
375,232.0
376,1006.0
377,633.0
378,1208.0
379,591.0
380,765.0
381,1092.0
382,608.0
383,633.0
384,635.0
385,588.0
386,1001.0
387,614.0
388,634.0
389,622.0
390,232.0
391,622.0
392,591.0
393,614.0
394,988.0
395,583.0
396,1010.0
397,609.0
398,603.0
399,630.0
400,634.0
401,756.0
402,232.0
403,576.0
404,620.0
405,596.0
406,952.0
407,1279.0
408,232.0
409,929.0
410,634.0
411,605.0
412,232.0
413,903.0
414,1207.0
415,1214.0
416,617.0
417,583.0
418,1269.0
419,746.0
420,232.0
421,594.0
422,216.0
423,1317.0
424,634.0
425,619.0
426,223.0
427,1014.0
428,981.0
429,1000.0
430,223.0
431,1292.0
432,217.0
433,232.0
434,633.0
435,907.0
436,721.0
437,983.0
438,216.0
439,232.0
440,986.0
441,232.0
442,1310.0
443,232.0
444,789.0
445,673.0
446,1204.0
447,232.0
448,632.0
449,636.0
450,232.0
451,943.0
452,764.0
453,216.0
454,232.0
455,742.0
456,634.0
457,232.0
458,222.0
459,709.0
460,232.0
461,1032.0
462,232.0
463,837.0
464,232.0
465,1229.0
466,1802.0
467,875.0
468,787.0
469,232.0
470,720.0
471,222.0
472,225.0
473,966.0
474,591.0
475,623.0
476,225.0
477,590.0
478,1280.0
479,232.0
480,796.0
481,832.0
482,713.0
483,588.0
484,780.0
485,614.0
486,222.0
487,722.0
488,222.0
489,622.0
490,850.0
491,972.0
492,1010.0
493,728.0
494,959.0
495,667.0
496,216.0
497,1003.0
498,634.0
499,232.0
500,592.0
501,691.0
502,232.0
503,634.0
504,232.0
505,935.0
506,837.0
507,572.0
508,1308.0
509,582.0
510,1293.0
511,636.0
512,597.0
513,591.0
514,954.0
515,701.0
516,593.0
517,232.0
518,605.0
519,724.0
520,722.0
521,1229.0
522,225.0
523,604.0
524,718.0
525,636.0
526,962.0
527,232.0
528,232.0
529,789.0
530,1032.0
531,576.0
532,802.0
533,1030.0
534,609.0
535,1271.0
536,225.0
537,739.0
538,754.0
539,608.0
540,232.0
541,770.0
542,666.0
543,222.0
544,750.0
545,795.0
546,699.0
547,635.0
548,232.0
549,806.0
550,1043.0
551,767.0
552,686.0
553,578.0
554,632.0
555,1010.0
556,594.0
557,583.0
558,622.0
559,222.0
560,1001.0
561,634.0
562,634.0
563,617.0
564,216.0
565,1240.0
566,712.0
567,762.0
568,991.0
569,232.0
570,603.0
571,610.0
572,232.0
573,996.0
574,232.0
575,222.0
576,999.0
577,232.0
578,987.0
579,1460.0
580,1009.0
581,232.0
582,1009.0
583,1018.0
584,232.0
585,721.0
586,592.0
587,797.0
588,957.0
589,746.0
590,634.0
591,232.0
592,594.0
593,570.0
594,944.0
595,762.0
596,1190.0
597,1250.0
598,232.0
599,787.0
600,1228.0
601,743.0
602,587.0
603,722.0
604,784.0
605,216.0
606,757.0
607,222.0
608,721.0
609,225.0
610,630.0
611,804.0
612,633.0
613,1219.0
614,588.0
615,608.0
616,621.0
617,1004.0
618,1246.0
619,752.0
620,591.0
621,633.0
622,232.0
623,225.0
624,780.0
625,1212.0
626,631.0
627,232.0
628,1045.0
629,929.0
630,633.0
631,802.0
632,975.0
633,225.0
634,787.0
635,802.0
636,724.0
637,591.0
638,216.0
639,991.0
640,232.0
641,232.0
642,771.0
