episode,episode_reward
1,634.0
2,232.0
3,691.0
4,658.0
5,805.0
6,232.0
7,716.0
8,632.0
9,802.0
10,232.0
11,593.0
12,232.0
13,636.0
14,905.0
15,232.0
16,945.0
17,232.0
18,636.0
19,954.0
20,801.0
21,606.0
22,1008.0
23,614.0
24,796.0
25,689.0
26,1266.0
27,583.0
28,599.0
29,1009.0
30,225.0
31,609.0
32,1241.0
33,1223.0
34,760.0
35,636.0
36,610.0
37,232.0
38,622.0
39,1203.0
40,225.0
41,739.0
42,1268.0
43,762.0
44,600.0
45,662.0
46,589.0
47,1261.0
48,595.0
49,1001.0
50,943.0
51,1193.0
52,618.0
53,635.0
54,591.0
55,753.0
56,993.0
57,1028.0
58,232.0
59,977.0
60,222.0
61,941.0
62,636.0
63,1273.0
64,800.0
65,223.0
66,1278.0
67,749.0
68,591.0
69,992.0
70,1273.0
71,1010.0
72,216.0
73,1020.0
74,604.0
75,635.0
76,1232.0
77,636.0
78,633.0
79,232.0
80,969.0
81,1206.0
82,633.0
83,225.0
84,678.0
85,603.0
86,1019.0
87,223.0
88,630.0
89,933.0
90,600.0
91,688.0
92,232.0
93,770.0
94,225.0
95,1276.0
96,607.0
97,620.0
98,744.0
99,650.0
100,1817.0
101,225.0
102,696.0
103,1192.0
104,232.0
105,225.0
106,977.0
107,700.0
108,665.0
109,1106.0
110,606.0
111,716.0
112,583.0
113,722.0
114,1517.0
115,995.0
116,593.0
117,779.0
118,634.0
119,1030.0
120,620.0
121,1210.0
122,232.0
123,723.0
124,726.0
125,757.0
126,708.0
127,583.0
128,1269.0
129,605.0
130,222.0
131,1246.0
132,1014.0
133,799.0
134,225.0
135,763.0
136,771.0
137,232.0
138,730.0
139,698.0
140,598.0
141,1260.0
142,1262.0
143,636.0
144,979.0
145,993.0
146,652.0
147,689.0
148,707.0
149,232.0
150,976.0
151,232.0
152,630.0
153,596.0
154,223.0
155,232.0
156,619.0
157,622.0
158,232.0
159,1036.0
160,763.0
161,1002.0
162,633.0
163,232.0
164,1374.0
165,643.0
166,727.0
167,965.0
168,1046.0
169,869.0
170,636.0
171,712.0
172,1008.0
173,589.0
174,603.0
175,216.0
176,975.0
177,622.0
178,592.0
179,232.0
180,808.0
181,600.0
182,608.0
183,636.0
184,611.0
185,216.0
186,232.0
187,1307.0
188,232.0
189,232.0
190,1006.0
191,225.0
192,660.0
193,225.0
194,223.0
195,222.0
196,608.0
197,805.0
198,658.0
199,1023.0
200,616.0
201,804.0
202,633.0
203,232.0
204,1270.0
205,596.0
206,693.0
207,806.0
208,707.0
209,232.0
210,225.0
211,866.0
212,636.0
213,935.0
214,225.0
215,953.0
216,612.0
217,232.0
218,1280.0
219,582.0
220,809.0
221,1264.0
222,1283.0
223,1004.0
224,634.0
225,589.0
226,1197.0
227,1268.0
228,603.0
229,973.0
230,232.0
231,940.0
232,1278.0
233,633.0
234,634.0
235,608.0
236,594.0
237,232.0
238,1298.0
239,232.0
240,1023.0
241,769.0
242,604.0
243,1031.0
244,1282.0
245,589.0
246,634.0
247,572.0
248,225.0
249,959.0
250,232.0
251,1015.0
252,588.0
253,630.0
254,232.0
255,590.0
256,1592.0
257,232.0
258,890.0
259,719.0
260,705.0
261,636.0
262,232.0
263,577.0
264,588.0
265,1280.0
266,809.0
267,708.0
268,232.0
269,591.0
270,232.0
271,216.0
272,232.0
273,633.0
274,629.0
275,608.0
276,917.0
277,634.0
278,1321.0
279,976.0
280,737.0
281,989.0
282,1000.0
283,878.0
284,633.0
285,594.0
286,232.0
287,2573.0
288,631.0
289,225.0
290,222.0
291,1152.0
292,1016.0
293,989.0
294,225.0
295,979.0
296,765.0
297,785.0
298,580.0
299,1014.0
300,602.0
301,634.0
302,1036.0
303,995.0
304,620.0
305,747.0
306,634.0
307,634.0
308,589.0
309,1027.0
310,232.0
311,616.0
312,724.0
313,232.0
314,1217.0
315,962.0
316,788.0
317,217.0
318,596.0
319,223.0
320,743.0
321,1130.0
322,612.0
323,1306.0
324,636.0
325,635.0
326,232.0
327,232.0
328,1506.0
329,778.0
330,632.0
331,1272.0
332,232.0
333,983.0
334,622.0
335,223.0
336,1293.0
337,608.0
338,622.0
339,232.0
340,232.0
341,1162.0
342,1245.0
343,232.0
344,777.0
345,732.0
346,1217.0
347,580.0
348,721.0
349,636.0
350,634.0
351,222.0
352,619.0
353,636.0
354,232.0
355,1283.0
356,232.0
357,232.0
358,785.0
359,633.0
360,635.0
361,232.0
362,225.0
363,232.0
364,899.0
365,232.0
366,781.0
367,634.0
368,875.0
369,225.0
370,232.0
371,1016.0
372,932.0
373,632.0
374,216.0
375,232.0
376,576.0
377,634.0
378,610.0
379,217.0
380,579.0
381,595.0
382,232.0
383,591.0
384,591.0
385,1283.0
386,802.0
387,777.0
388,635.0
389,621.0
390,1019.0
391,594.0
392,1000.0
393,1229.0
394,622.0
395,1353.0
396,1265.0
397,1032.0
398,710.0
399,955.0
400,232.0
401,583.0
402,613.0
403,967.0
404,690.0
405,225.0
406,1813.0
407,232.0
408,619.0
409,718.0
410,232.0
411,992.0
412,232.0
413,804.0
414,943.0
415,856.0
416,697.0
417,1010.0
418,997.0
419,611.0
420,232.0
421,749.0
422,232.0
423,788.0
424,225.0
425,232.0
426,717.0
427,634.0
428,1306.0
429,1617.0
430,753.0
431,922.0
432,643.0
433,1028.0
434,693.0
435,708.0
436,600.0
437,588.0
438,1300.0
439,633.0
440,589.0
441,581.0
442,1127.0
443,232.0
444,789.0
445,232.0
446,633.0
447,1235.0
448,2260.0
449,232.0
450,592.0
451,232.0
452,734.0
453,950.0
454,1229.0
455,576.0
456,968.0
457,232.0
458,232.0
459,1035.0
460,216.0
461,742.0
462,999.0
463,1265.0
464,990.0
465,592.0
466,619.0
467,950.0
468,633.0
469,232.0
470,687.0
471,949.0
472,1018.0
473,225.0
474,788.0
475,1021.0
476,635.0
477,1271.0
478,232.0
479,1425.0
480,232.0
481,770.0
482,994.0
483,1225.0
484,232.0
485,636.0
486,1292.0
487,1025.0
488,232.0
489,634.0
490,992.0
491,1257.0
492,596.0
493,895.0
494,216.0
495,710.0
496,725.0
497,998.0
498,898.0
499,222.0
500,1012.0
501,1504.0
502,765.0
503,882.0
504,686.0
505,636.0
506,615.0
507,223.0
508,1249.0
509,1008.0
510,780.0
511,636.0
512,232.0
513,640.0
514,616.0
515,636.0
516,941.0
517,232.0
518,621.0
519,968.0
520,630.0
521,594.0
522,759.0
523,622.0
524,630.0
525,1118.0
526,608.0
527,783.0
528,1115.0
529,232.0
530,584.0
531,630.0
532,691.0
533,232.0
534,718.0
535,232.0
536,634.0
537,598.0
538,953.0
539,696.0
540,634.0
541,636.0
542,748.0
543,635.0
544,758.0
545,994.0
546,225.0
547,776.0
548,1194.0
549,1030.0
550,232.0
551,616.0
552,222.0
553,633.0
554,612.0
555,623.0
556,225.0
557,620.0
558,232.0
559,993.0
560,616.0
561,668.0
562,634.0
563,983.0
564,630.0
565,749.0
566,1307.0
567,694.0
568,1268.0
569,1194.0
570,614.0
571,634.0
572,928.0
573,610.0
574,232.0
575,232.0
576,619.0
577,1090.0
578,789.0
579,222.0
580,724.0
581,773.0
582,1004.0
583,701.0
584,1046.0
585,610.0
586,1237.0
587,927.0
588,699.0
589,583.0
590,580.0
591,1295.0
592,767.0
593,232.0
594,225.0
595,764.0
596,232.0
597,745.0
598,622.0
599,1144.0
600,712.0
601,1022.0
602,622.0
603,232.0
604,605.0
605,1274.0
606,1310.0
607,611.0
608,706.0
609,632.0
610,1286.0
611,729.0
612,790.0
613,610.0
614,1256.0
615,590.0
616,1260.0
617,654.0
618,612.0
619,711.0
620,223.0
621,591.0
622,646.0
623,1234.0
624,634.0
625,232.0
626,232.0
627,733.0
628,232.0
629,610.0
630,1274.0
631,1024.0
632,968.0
633,634.0
634,712.0
635,1005.0
636,1028.0
637,614.0
638,980.0
639,636.0
640,1521.0
641,636.0
642,696.0
643,639.0
644,232.0
645,996.0
646,585.0
647,734.0
648,724.0
649,841.0
650,620.0
651,776.0
652,1246.0
653,622.0
654,232.0
655,224.0
656,802.0
657,772.0
658,1009.0
659,584.0
660,225.0
661,1021.0
662,621.0
663,1009.0
664,232.0
665,857.0
666,1065.0
667,1279.0
668,601.0
669,1002.0
670,634.0
671,232.0
672,794.0
673,223.0
674,1278.0
675,232.0
676,232.0
677,1312.0
678,605.0
679,1316.0
680,711.0
681,232.0
682,579.0
683,632.0
684,232.0
685,664.0
686,958.0
687,715.0
688,989.0
689,926.0
690,634.0
691,745.0
692,989.0
693,1282.0
694,232.0
695,1007.0
696,744.0
697,232.0
698,768.0
699,586.0
700,996.0
701,1294.0
702,789.0
703,1266.0
704,630.0
705,597.0
706,1227.0
707,232.0
708,1301.0
709,1277.0
710,223.0
711,224.0
712,1284.0
713,232.0
714,633.0
715,1045.0
716,686.0
717,902.0
718,806.0
719,636.0
720,636.0
721,1289.0
722,635.0
723,631.0
724,620.0
725,587.0
726,971.0
727,579.0
728,634.0
729,1284.0
730,232.0
731,634.0
732,728.0
733,1238.0
734,803.0
735,731.0
736,1008.0
737,723.0
738,598.0
739,786.0
740,981.0
741,232.0
742,745.0
743,1317.0
744,603.0
745,1026.0
746,232.0
747,216.0
748,622.0
749,609.0
750,232.0
751,232.0
752,631.0
753,1025.0
754,633.0
755,632.0
756,619.0
757,980.0
758,997.0
759,592.0
760,634.0
761,763.0
762,707.0
763,776.0
764,611.0
765,962.0
766,232.0
767,1009.0
768,633.0
769,1228.0
770,597.0
771,636.0
772,634.0
773,1233.0
774,920.0
775,590.0
776,1295.0
777,1193.0
778,1034.0
779,232.0
780,753.0
781,734.0
782,806.0
783,232.0
784,1028.0
785,929.0
786,689.0
787,636.0
788,629.0
789,936.0
790,611.0
791,633.0
792,1276.0
793,636.0
794,232.0
795,752.0
796,749.0
797,711.0
798,635.0
799,232.0
800,591.0
801,605.0
802,632.0
803,943.0
804,999.0
805,872.0
806,724.0
807,636.0
808,1284.0
809,596.0
810,578.0
811,588.0
812,631.0
813,804.0
814,970.0
815,585.0
816,756.0
817,656.0
818,594.0
819,768.0
820,636.0
821,232.0
822,606.0
823,883.0
824,232.0
825,232.0
826,1263.0
827,1293.0
828,223.0
829,1270.0
830,981.0
831,232.0
832,922.0
833,632.0
834,614.0
835,631.0
836,760.0
837,688.0
838,739.0
839,223.0
840,634.0
841,645.0
842,1294.0
843,892.0
844,728.0
845,763.0
846,591.0
847,599.0
848,635.0
849,953.0
850,634.0
851,232.0
852,1004.0
853,1223.0
854,620.0
855,747.0
856,224.0
857,746.0
858,939.0
859,623.0
860,232.0
861,634.0
862,610.0
863,1263.0
864,787.0
865,622.0
866,1277.0
867,1332.0
868,632.0
869,636.0
870,601.0
871,1270.0
872,602.0
873,914.0
874,633.0
875,583.0
876,1241.0
877,225.0
878,772.0
879,232.0
880,232.0
881,1261.0
882,583.0
883,587.0
884,1719.0
885,635.0
886,1246.0
887,1390.0
888,622.0
889,758.0
890,222.0
891,636.0
892,1257.0
893,636.0
894,762.0
895,806.0
896,661.0
897,694.0
898,232.0
899,600.0
900,232.0
901,600.0
902,602.0
903,606.0
904,672.0
905,232.0
906,600.0
907,223.0
908,232.0
909,1020.0
910,588.0
911,1446.0
912,969.0
913,635.0
914,232.0
915,232.0
916,766.0
917,232.0
918,973.0
919,1003.0
920,673.0
921,605.0
922,597.0
923,622.0
924,1224.0
925,977.0
926,773.0
927,603.0
928,223.0
929,1285.0
930,1390.0
931,232.0
932,614.0
933,634.0
934,678.0
935,753.0
936,726.0
937,232.0
938,1295.0
939,621.0
940,632.0
941,232.0
942,634.0
943,1291.0
944,708.0
945,990.0
946,940.0
947,232.0
948,774.0
949,799.0
950,1025.0
951,991.0
952,996.0
953,621.0
954,232.0
955,232.0
956,232.0
957,859.0
958,988.0
959,634.0
960,809.0
961,1246.0
962,232.0
963,634.0
964,232.0
965,788.0
966,1297.0
967,1009.0
968,634.0
969,613.0
970,1021.0
971,696.0
972,2546.0
973,950.0
974,1001.0
975,760.0
976,1275.0
977,1010.0
978,1265.0
979,1261.0
980,771.0
981,1029.0
982,610.0
983,3003.0
984,923.0
985,701.0
986,1301.0
987,634.0
988,992.0
989,692.0
990,769.0
991,608.0
992,232.0
993,1027.0
994,790.0
995,232.0
996,622.0
997,232.0
998,700.0
999,777.0
1000,590.0
1001,623.0
1002,1040.0
1003,977.0
1004,1028.0
1005,636.0
1006,1255.0
1007,1300.0
1008,601.0
1009,919.0
1010,839.0
1011,223.0
1012,232.0
1013,979.0
1014,232.0
1015,232.0
1016,594.0
1017,589.0
1018,1141.0
1019,702.0
1020,232.0
1021,232.0
1022,707.0
1023,958.0
1024,232.0
1025,973.0
1026,634.0
1027,633.0
1028,587.0
1029,636.0
1030,701.0
1031,763.0
1032,1171.0
1033,602.0
1034,636.0
1035,232.0
1036,720.0
1037,232.0
1038,633.0
1039,232.0
1040,1028.0
1041,1024.0
1042,232.0
1043,983.0
1044,1026.0
1045,1041.0
