episode,episode_reward
1,232.0
2,589.0
3,216.0
4,225.0
5,1022.0
6,594.0
7,636.0
8,232.0
9,634.0
10,600.0
11,726.0
12,1000.0
13,738.0
14,933.0
15,232.0
16,603.0
17,1267.0
18,1182.0
19,636.0
20,739.0
21,596.0
22,1038.0
23,232.0
24,764.0
25,634.0
26,863.0
27,232.0
28,232.0
29,767.0
30,232.0
31,607.0
32,675.0
33,801.0
34,722.0
35,1284.0
36,634.0
37,613.0
38,620.0
39,222.0
40,619.0
41,633.0
42,1194.0
43,603.0
44,1242.0
45,1000.0
46,994.0
47,633.0
48,232.0
49,609.0
50,599.0
51,1011.0
52,629.0
53,595.0
54,1248.0
55,735.0
56,783.0
57,232.0
58,618.0
59,232.0
60,1226.0
61,1032.0
62,222.0
63,232.0
64,225.0
65,782.0
66,225.0
67,581.0
68,1248.0
69,764.0
70,594.0
71,630.0
72,633.0
73,789.0
74,904.0
75,912.0
76,951.0
77,742.0
78,1237.0
79,1008.0
80,747.0
81,1024.0
82,616.0
83,1269.0
84,1159.0
85,1008.0
86,618.0
87,232.0
88,232.0
89,749.0
90,1243.0
91,216.0
92,1299.0
93,614.0
94,232.0
95,695.0
96,728.0
97,635.0
98,589.0
99,232.0
100,989.0
101,222.0
102,745.0
103,744.0
104,619.0
105,631.0
106,232.0
107,760.0
108,590.0
109,777.0
110,676.0
111,632.0
112,1033.0
113,955.0
114,633.0
115,585.0
116,593.0
117,232.0
118,232.0
119,634.0
120,1005.0
121,225.0
122,731.0
123,232.0
124,1014.0
125,232.0
126,858.0
127,730.0
128,929.0
129,634.0
130,225.0
131,952.0
132,646.0
133,232.0
134,634.0
135,954.0
136,603.0
137,608.0
138,232.0
139,1008.0
140,968.0
141,1248.0
142,232.0
143,232.0
144,955.0
145,1278.0
146,1271.0
147,764.0
148,1258.0
149,232.0
150,232.0
151,225.0
152,232.0
153,232.0
154,1261.0
155,588.0
156,232.0
157,1283.0
158,1276.0
159,782.0
160,232.0
161,621.0
162,1294.0
163,603.0
164,1011.0
165,225.0
166,618.0
167,1231.0
168,232.0
169,1372.0
170,629.0
171,232.0
172,222.0
173,608.0
174,232.0
175,757.0
176,1251.0
177,232.0
178,599.0
179,716.0
180,603.0
181,561.0
182,591.0
183,676.0
184,765.0
185,990.0
186,1018.0
187,579.0
188,622.0
189,1527.0
190,232.0
191,807.0
192,737.0
193,619.0
194,631.0
195,973.0
196,1012.0
197,976.0
198,679.0
199,1261.0
200,614.0
201,1227.0
202,994.0
203,1340.0
204,216.0
205,232.0
206,232.0
207,232.0
208,615.0
209,958.0
210,634.0
211,789.0
212,729.0
213,785.0
214,1000.0
215,631.0
216,1285.0
217,634.0
218,223.0
219,1267.0
220,622.0
221,1224.0
222,232.0
223,599.0
224,676.0
225,635.0
226,232.0
227,619.0
228,682.0
229,1035.0
230,1022.0
231,803.0
232,690.0
233,223.0
234,632.0
235,217.0
236,232.0
237,634.0
238,232.0
239,727.0
240,1013.0
241,232.0
242,618.0
243,731.0
244,636.0
245,954.0
246,615.0
247,1251.0
248,1015.0
249,232.0
250,892.0
251,970.0
252,1008.0
253,841.0
254,223.0
255,911.0
256,232.0
257,593.0
258,596.0
259,994.0
260,232.0
261,962.0
262,789.0
263,577.0
264,599.0
265,1015.0
266,950.0
267,232.0
268,225.0
269,630.0
270,572.0
271,574.0
272,1219.0
273,232.0
274,1272.0
275,1003.0
276,679.0
277,1252.0
278,968.0
279,621.0
280,599.0
281,885.0
282,232.0
283,1287.0
284,586.0
285,1108.0
286,593.0
287,595.0
288,601.0
289,610.0
290,634.0
291,788.0
292,740.0
293,633.0
294,635.0
295,582.0
296,596.0
297,768.0
298,735.0
299,676.0
300,622.0
301,756.0
302,622.0
303,888.0
304,995.0
305,632.0
306,597.0
307,1234.0
308,779.0
309,630.0
310,764.0
311,765.0
312,1225.0
313,580.0
314,839.0
315,232.0
316,595.0
317,602.0
318,232.0
319,616.0
320,731.0
321,588.0
322,635.0
323,741.0
324,634.0
325,635.0
326,591.0
327,232.0
328,222.0
329,783.0
330,620.0
331,1220.0
332,903.0
333,587.0
334,2904.0
335,577.0
336,232.0
337,688.0
338,1541.0
339,622.0
340,635.0
341,697.0
342,635.0
343,980.0
344,1019.0
345,232.0
346,676.0
347,590.0
348,232.0
349,588.0
350,232.0
351,745.0
352,971.0
353,744.0
354,216.0
355,225.0
356,616.0
357,790.0
358,978.0
359,799.0
360,931.0
361,732.0
362,232.0
363,989.0
364,1254.0
365,590.0
366,1020.0
367,598.0
368,759.0
369,597.0
370,760.0
371,636.0
372,617.0
373,634.0
374,1185.0
375,634.0
376,955.0
377,965.0
378,767.0
379,216.0
380,232.0
381,990.0
382,636.0
383,223.0
384,232.0
385,634.0
386,579.0
387,960.0
388,596.0
389,636.0
390,1289.0
391,984.0
392,607.0
393,232.0
394,1298.0
395,603.0
396,225.0
397,689.0
398,1001.0
399,1284.0
400,602.0
401,633.0
402,232.0
403,772.0
404,1294.0
405,691.0
406,762.0
407,615.0
408,632.0
409,610.0
410,1205.0
411,232.0
412,1001.0
413,771.0
414,1630.0
415,232.0
416,617.0
417,787.0
418,1009.0
419,614.0
420,1250.0
421,232.0
422,1164.0
423,633.0
424,623.0
425,592.0
426,809.0
427,959.0
428,232.0
429,631.0
430,740.0
431,1031.0
432,1238.0
433,722.0
434,232.0
435,1297.0
436,715.0
437,232.0
438,719.0
439,621.0
440,611.0
441,232.0
442,995.0
443,752.0
444,744.0
445,216.0
446,1008.0
447,1003.0
448,1241.0
449,633.0
450,1202.0
451,998.0
452,602.0
453,570.0
454,633.0
455,934.0
456,1293.0
457,798.0
458,1009.0
459,631.0
460,698.0
461,232.0
462,232.0
463,717.0
464,632.0
465,232.0
466,1034.0
467,232.0
468,634.0
469,595.0
470,722.0
471,225.0
472,631.0
473,634.0
474,633.0
475,1527.0
476,225.0
477,232.0
478,232.0
479,778.0
480,599.0
481,594.0
482,232.0
483,216.0
484,1025.0
485,1264.0
486,1271.0
487,232.0
488,732.0
489,1270.0
490,599.0
491,1270.0
492,595.0
493,232.0
494,585.0
495,776.0
496,232.0
497,232.0
498,634.0
499,225.0
500,610.0
501,635.0
502,1007.0
503,616.0
504,670.0
505,216.0
506,732.0
507,805.0
508,232.0
509,1008.0
510,1269.0
511,232.0
512,984.0
513,1240.0
514,781.0
515,726.0
516,619.0
517,1183.0
518,957.0
519,634.0
520,636.0
521,804.0
522,216.0
523,606.0
524,875.0
525,610.0
526,1272.0
527,223.0
528,684.0
529,741.0
530,232.0
531,746.0
532,232.0
533,807.0
534,715.0
535,232.0
536,633.0
537,1005.0
538,1343.0
539,692.0
540,689.0
541,775.0
542,1001.0
543,726.0
544,232.0
545,621.0
546,1273.0
547,1027.0
548,941.0
549,232.0
550,232.0
551,1005.0
552,1259.0
553,998.0
554,736.0
555,232.0
556,633.0
557,804.0
558,910.0
559,604.0
560,1589.0
561,633.0
562,581.0
563,718.0
564,710.0
565,232.0
566,1280.0
567,1232.0
568,621.0
569,232.0
570,225.0
571,224.0
572,756.0
573,607.0
574,609.0
575,633.0
576,1045.0
577,965.0
578,717.0
579,818.0
580,598.0
581,1034.0
582,1011.0
583,588.0
584,1251.0
585,701.0
586,1006.0
587,232.0
588,611.0
589,636.0
590,583.0
591,232.0
